Time,CO,NO,NO2,O3,SO2,PM10,PM2.5
2020/1/1 13:00,0.23,0.7,2.4,38.5,2.7,5,2
2020/1/2 13:00,0.16,0.8,3.6,43.2,2.9,11,7
2020/1/3 13:00,0.17,0.3,2.3,42.4,1.4,11,9
2020/1/4 13:00,0.17,1,1.7,46,1.1,5,8
2020/1/5 13:00,0.23,0.7,2.2,41.1,0.5,11,5
2020/1/6 13:00,0.3,0.8,5.8,56.8,1.5,31,26
2020/1/7 13:00,0.34,1.5,11.5,55.2,1.7,41,25
2020/1/8 13:00,0.69,1.5,5.2,57.2,1.2,25,14
2020/1/9 13:00,0.24,1.2,2.4,44.2,2,22,11
2020/1/10 13:00,0.24,1.4,8.3,45.1,1.7,15,9
2020/1/11 13:00,0.29,1.6,5.8,46.6,1,28,12
2020/1/12 13:00,0.42,0.8,5.8,27,0.5,22,10
2020/1/13 13:00,0.33,1.6,9.9,31.9,0.5,24,16
2020/1/14 13:00,0.19,0,0,45.5,1.6,12,7
2020/1/15 13:00,0.39,2.1,6.6,40.1,0.5,5,0
2020/1/16 13:00,0.25,1.4,4.4,47.5,1.6,14,5
2020/1/17 13:00,0.21,1.1,4.5,36.1,1.4,5,1
2020/1/18 13:00,0.4,1.3,4.5,36.9,0.5,24,13
2020/1/19 13:00,0.38,0.6,4.5,36.1,1.7,29,21
2020/1/20 13:00,0.43,1.6,4.5,43,1,26,16
2020/1/21 13:00,0,0,0,0,0,0,19
2020/1/22 13:00,0.46,1.5,9.9,52.9,2.7,55,37
2020/1/23 13:00,0.49,0.9,12.1,61,3.3,33,20
2020/1/24 13:00,0.33,1,3.2,39.5,1.9,19,7
2020/1/25 13:00,0.31,0.5,3.8,39.4,1.2,12,5
2020/1/26 13:00,0.24,0.9,4.1,37.3,0.5,0,1
2020/1/27 13:00,0.28,0.7,4.1,35.9,1.9,11,1
2020/1/28 13:00,0.36,1.1,4.5,32.3,1.3,17,7
2020/1/29 13:00,0.42,0.3,4.1,35.8,1.3,19,10
2020/1/30 13:00,0.4,1.8,3.9,52.6,0.5,36,32
2020/1/31 13:00,0.37,2.2,3.7,49.8,0.5,39,28
2020/2/1 13:00,0.26,0.3,4,51.4,0.5,19,12
2020/2/2 13:00,0.17,0.7,4.5,53.6,1.6,19,6
2020/2/3 13:00,0.17,1.4,3.5,43.8,2.1,13,8
2020/2/4 13:00,0.3,0.9,4.2,45.3,1.7,10,5
2020/2/5 13:00,0.23,0.3,2.6,43.6,1,21,11
2020/2/6 13:00,0.23,0.3,3,46.7,0.5,5,1
2020/2/7 13:00,0.22,0.3,4.2,44.4,0,12,3
2020/2/8 13:00,0.31,1.2,4,40.6,0.5,21,9
2020/2/9 13:00,0.27,0.3,3.2,41.7,1.3,19,13
2020/2/10 13:00,0.23,0.3,3.3,49,1.1,26,15
2020/2/11 13:00,0.31,1.5,10.9,48.4,1.8,44,27
2020/2/12 13:00,0.38,1.5,9.7,66.2,3.5,29,21
2020/2/13 13:00,0.24,0.6,5.6,60,3.5,27,15
2020/2/14 13:00,0.22,1.1,6.4,39.6,2,13,12
2020/2/15 13:00,0.21,1.4,4.7,43.8,1.3,12,9
2020/2/16 13:00,0.33,1.9,2.5,34.8,1.5,5,5
2020/2/17 13:00,0.23,0.3,1.5,46.5,1.2,25,10
2020/2/18 13:00,0.22,0.6,3.1,47.3,0,23,13
2020/2/19 13:00,0.19,1.8,4.4,48.1,3,21,7
2020/2/20 13:00,0.2,0.7,2.9,44,1.4,12,5
2020/2/21 13:00,0.18,1.6,7.2,45.9,2.5,26,14
2020/2/22 13:00,0.23,0.7,3.4,51.1,2.1,33,19
2020/2/23 13:00,0.23,0.6,1.7,51.1,1.1,41,15
2020/2/24 13:00,0.26,1.4,8.5,58,2.4,26,11
2020/2/25 13:00,0.39,1.5,14.1,75.1,3,72,48
2020/2/26 13:00,0.27,0,0,0,0,40,0
2020/2/27 13:00,0.23,0.5,2.3,47.8,1.1,5,6
2020/2/28 13:00,0.3,1.1,7.3,49.2,1.7,50,24
2020/2/29 13:00,0.23,2.7,6,49.3,1.8,23,11
2020/3/1 13:00,0.33,1.3,6.4,37.2,1.6,25,21
2020/3/2 13:00,0.22,0.7,1.9,49,0.5,18,9
2020/3/3 13:00,0.28,0.3,4.8,45.6,1.3,21,9
2020/3/4 13:00,0.28,0.8,4.4,43.4,1.3,5,4
